O programador destruiu o parque.
O robô criou o escritório.
Meu cachorro encontrou a cozinha.
O gato encontrou o escritório.
O gato encontrou o escritório.
O gato correu para a cozinha.
O robô encontrou o parque.
O programador destruiu o parque.
O gato encontrou a lua.
O programador correu para o parque.
Um cientista encontrou o parque.
O programador correu para o escritório.
O robô encontrou a lua.
O robô encontrou o laboratório.
O robô correu para o parque.
O robô criou o laboratório.
O robô estudou o parque.
O robô criou o escritório.
Meu cachorro estudou a lua.
O programador correu para o escritório.
O programador destruiu o laboratório.
Um cientista correu para a cozinha.
Meu cachorro criou o laboratório.
Meu cachorro estudou a cozinha.
Um cientista criou a lua.
O programador destruiu o parque.
Um cientista criou o parque.
O programador destruiu o laboratório.
O robô criou o escritório.
Um cientista destruiu a lua.
O gato estudou o parque.
O programador encontrou a lua.
Um cientista correu para o escritório.
O programador destruiu o laboratório.
O programador criou o parque.
O gato estudou a cozinha.
Um cientista estudou o parque.
Um cientista criou a cozinha.
O robô criou a cozinha.
O robô encontrou o laboratório.
